country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
SOM,≥ 1000 total,cum case,7,252,3.5,0.5,1,NA,-0.7,1.9,0.8,-2,NA,NA
BEN,≥ .25 per 10K,rate,1,11.4,0.2,0,0,3,-0.6,-0.5,NA,0.6,0.5,NA
CIV,≥ .25 per 10K,rate,1,24,0.2,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
COG,≥ .25 per 10K,rate,1,0,0,0,NA,NA,-1,-1,NA,NA,NA,NA
MLI,≥ .25 per 10K,rate,1,1.2,0,0,NA,NA,-1.1,-0.9,NA,NA,NA,NA
NAM,≥ .25 per 10K,rate,1,26,0.5,0,NA,NA,0.4,0.4,NA,NA,NA,NA
ZMB,≥ .25 per 10K,rate,1,35,0.2,0,NA,NA,0.8,0.8,NA,NA,NA,NA
ZWE,≥ .25 per 10K,rate,1,48,0.7,0,0,2,-0.3,-0.4,NA,0.3,-0.7,NA
BEN,≥ .5 per 10K,rate,2,13.2,0.2,0,0,4,-0.5,-0.3,NA,0.6,-0.3,NA
CIV,≥ .5 per 10K,rate,2,24,0.2,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
MLI,≥ .5 per 10K,rate,2,0.4,0,0,NA,NA,-1.2,-1.2,NA,NA,NA,NA
NAM,≥ .5 per 10K,rate,2,15,0.3,0,NA,NA,-1.4,-1.4,NA,NA,NA,NA
ZWE,≥ .5 per 10K,rate,2,48,0.7,0,0,2,-0.3,-0.4,NA,0.3,-0.7,NA
BEN,≥ 1 per 10K,rate,3,18.9,0.3,0,0,4,0,0.1,NA,0.6,-0.3,NA
CIV,≥ 1 per 10K,rate,3,13,0.1,0,NA,NA,-0.8,-0.6,NA,NA,NA,NA
MLI,≥ 1 per 10K,rate,3,0.7,0,0,NA,NA,-1.2,-1.1,NA,NA,NA,NA
ZWE,≥ 1 per 10K,rate,3,48,0.7,0,0,2,-0.3,-0.4,NA,0.3,-0.7,NA
BEN,≥ 1.5 per 10K,rate,4,19.6,0.3,0,0,5,0.1,0.2,NA,0.6,-1.1,NA
CIV,≥ 1.5 per 10K,rate,4,23,0.3,0,NA,NA,-0.4,0.3,NA,NA,NA,NA
ZWE,≥ 1.5 per 10K,rate,4,56,0.8,0,0,2,0.1,0.2,NA,0.3,-0.7,NA
BEN,≥ 2.5 per 10K,rate,5,25.4,0.4,0,0,5,0.6,0.7,NA,0.6,-1.1,NA
GHA,≥ 2.5 per 10K,rate,5,17,0.1,0,1,NA,-2.1,-2,-1.3,-1.4,NA,NA
ZWE,≥ 2.5 per 10K,rate,5,56,0.8,0,0,2,0.1,0.2,NA,0.3,-0.7,NA
BEN,≥ 5 per 10K,rate,6,61,1,0,0,5,3.8,3.7,NA,0.6,-1.1,NA
TZA,≥ 5 per 10K,rate,6,90,0.3,0,1,NA,-0.8,-1,-1.1,-1.5,NA,NA
UGA,≥ 5 per 10K,rate,6,62,0.6,0,1,NA,1.4,2.7,-0.5,-1.5,NA,NA
