country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
ZWE,≥ 5 per 10K,rate,6,83,5.1,0,NA,NA,-0,-0,NA,NA,NA,NA
COG,≥ 7.5 per 10K,rate,7,24,0.8,0,NA,NA,-1.9,-1.9,NA,NA,NA,NA
SOM,≥ 7.5 per 10K,rate,7,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ 7.5 per 10K,rate,7,83,5.1,0,NA,NA,-0,-0,NA,NA,NA,NA
CMR,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
GIN,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-2.2,NA,NA
CMR,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
COD,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
GIN,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.2,NA,NA
SLE,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.7,NA,NA
SSD,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
CMR,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
GIN,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-2.2,NA,NA
CMR,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
GIN,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.2,NA,NA
SLE,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.7,NA,NA
SSD,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
